1000    9701    9701 9692    9211 9440 9565 9630  9755 9824 9961 10223    8612 10941    49472 222
1000    9801    9801 9791    9307 9537 9665 9730  9856 9925 10063 10328    8666 11052    50309 224
1000    9901    9900 9890    9399 9633 9763 9825  9958 10029 10166 10428    8823 11116    51402 226
1000    10001    9999 9991    9494 9729 9862 9923  10057 10124 10264 10540    8872 11154    52395 228
1000    10101    10099 10090    9584 9825 9961 10028  10157 10226 10367 10640    8926 11210    53400 231
1000    10201    10200 10190    9677 9925 10063 10127  10254 10327 10468 10751    9042 11343    54264 232
1000    10301    10300 10292    9774 10019 10161 10226  10358 10426 10575 10859    9128 11454    55371 235
1000    10401    10400 10393    9868 10123 10261 10327  10459 10527 10680 10962    9183 11598    56560 237
1000    10501    10501 10497    9960 10218 10360 10426  10559 10633 10782 11068    9292 11718    57518 239
1000    10601    10601 10594    10059 10311 10459 10526  10660 10733 10887 11174    9356 11785    58612 242
1000    10701    10700 10695    10156 10410 10556 10623  10760 10835 10988 11277    9471 11950    59966 244
1000    10801    10800 10794    10250 10509 10651 10722  10861 10937 11091 11382    9595 12035    61329 247
1000    10901    10901 10893    10342 10606 10752 10822  10963 11036 11193 11490    9642 12286    62416 249
1000    11001    11001 10993    10439 10702 10852 10925  11065 11142 11299 11595    9692 12425    63526 252
1000    11101    11101 11093    10530 10801 10952 11025  11163 11241 11401 11699    9754 12653    65074 255
1000    11201    11201 11192    10622 10897 11049 11124  11263 11345 11500 11801    9839 12758    66565 258
1000    11301    11301 11292    10719 10990 11147 11222  11367 11446 11601 11911    9866 12856    67849 260
1000    11401    11400 11390    10812 11088 11245 11320  11467 11545 11705 12014    10042 12956    69096 262
1000    11501    11499 11491    10905 11184 11340 11419  11567 11644 11804 12115    10174 13052    70290 265
1000    11601    11598 11589    10999 11282 11441 11512  11667 11745 11908 12220    10296 13115    71606 267
1000    11701    11698 11690    11096 11379 11537 11612  11766 11845 12013 12332    10382 13187    72917 270
1000    11801    11798 11789    11188 11474 11637 11713  11868 11947 12115 12433    10407 13316    74216 272
1000    11901    11897 11891    11285 11572 11736 11813  11966 12047 12220 12541    10476 13438    75588 274
1000    12001    11997 11990    11382 11670 11832 11912  12070 12150 12322 12651    10594 13548    76808 277
1000    12101    12097 12090    11479 11764 11932 12010  12169 12251 12427 12746    10708 13580    77901 279
1000    12201    12197 12191    11573 11864 12028 12110  12269 12355 12527 12851    10835 13676    79485 281
1000    12301    12298 12291    11670 11961 12129 12209  12371 12456 12630 12961    10971 13799    80396 283
1000    12401    12398 12389    11767 12058 12229 12310  12471 12556 12733 13066    11012 13997    81902 286
1000    12501    12498 12490    11863 12154 12327 12411  12570 12660 12833 13173    11062 14037    82920 287
1000    12601    12599 12593    11952 12257 12427 12510  12676 12761 12937 13274    11208 14146    83970 289
1000    12701    12699 12691    12049 12354 12527 12611  12776 12864 13039 13378    11324 14266    85558 292
1000    12801    12799 12794    12145 12450 12623 12708  12877 12963 13143 13480    11397 14415    87155 295
1000    12901    12899 12894    12239 12545 12721 12808  12978 13061 13246 13589    11474 14728    88530 297
1000    13001    12999 12993    12329 12644 12821 12909  13078 13164 13352 13702    11597 14794    89893 299
1000    13101    13098 13091    12425 12739 12916 13006  13177 13266 13450 13809    11670 14875    91377 302
1000    13201    13198 13189    12519 12836 13014 13107  13280 13370 13556 13911    11781 15039    92787 304
1000    13301    13298 13290    12611 12930 13116 13205  13380 13471 13656 14018    11821 15126    93819 306
1000    13401    13398 13389    12710 13029 13214 13303  13483 13572 13761 14122    11839 15276    95472 308
1000    13501    13498 13494    12803 13125 13312 13401  13580 13669 13859 14225    12003 15327    96869 311
1000    13601    13597 13592    12898 13226 13411 13501  13681 13773 13962 14333    12106 15372    98231 313
1000    13701    13699 13692    12993 13326 13507 13605  13783 13877 14066 14436    12190 15488    99289 315
1000    13801    13799 13792    13089 13422 13605 13708  13883 13978 14172 14536    12293 15553    100457 316
1000    13901    13899 13892    13180 13517 13707 13801  13983 14080 14271 14652    12390 15638    102248 319
1000    14001    13998 13990    13275 13615 13804 13896  14081 14178 14380 14751    12434 15747    104329 323
1000    14101    14098 14091    13372 13710 13902 13998  14181 14276 14481 14851    12499 15878    105638 325
1000    14201    14197 14191    13464 13806 13996 14098  14284 14376 14587 14962    12565 16079    107624 328
1000    14301    14297 14289    13565 13905 14095 14195  14389 14485 14688 15065    12587 16191    108932 330
1000    14401    14398 14393    13662 14001 14194 14295  14486 14584 14789 15172    12672 16260    109845 331
1000    14501    14498 14495    13759 14100 14294 14394  14585 14687 14890 15276    12699 16349    110694 332
1000    14601    14599 14591    13847 14198 14397 14493  14690 14789 14995 15384    12843 16643    112685 335
